,Date,Location,Deaths,Injuries,Description,Suspects Deaths,Suspects Injuries,Total,dt,City,State,Location_,loc,loc_name,loc_coords,lat,long,Month,Year,Day
10,"February 1, 1872","Washington, Pennsylvania",0,1,"At the all-girls Union School, 17-year-old Thomas McGiffin shot and seriously wounded the principal, Prof. Wilson, in the hip because Wilson refused to deliver a note to one of the girls. McGiffin was a son of Col. Norton McGiffin, and brother of US naval hero Philo McGiffin.[12]",0,0,1,1872-02-01,Washington,Pennsylvania,"Washington, Pennsylvania","Washington County, Pennsylvania, USA","Washington County, Pennsylvania, USA","(40.1943798, -80.2541251)",40.1943798,-80.2541251,2,1872,1
11,"February 11, 1873",Wisconsin,0,1,Chris Foote[failed verification] shot the school mistress for whipping his son.[13][better source needed],0,0,1,1873-02-11,Wisconsin,Wisconsin,"Wisconsin, Wisconsin","Wisconsin, Brookfield, Town of Brookfield, Waukesha County, Wisconsin, 53005-5918, USA","Wisconsin, Brookfield, Town of Brookfield, Waukesha County, Wisconsin, 53005-5918, USA","(43.039423, -88.142019)",43.039423,-88.142019,2,1873,11
12,"February 20, 1874","Agency, Montana",1,0,"After being ejected from school for disobedience, 20-year-old Thomas Squires, fatally shot Prof. Hayes three times in the abdomen.[14]",0,0,1,1874-02-20,Agency,Montana,"Agency, Montana","Crow Agency Sewage Lagoons Dam, Big Horn County, Montana, 59021, USA","Crow Agency Sewage Lagoons Dam, Big Horn County, Montana, 59021, USA","(45.6097694, -107.453394)",45.6097694,-107.453394,2,1874,20
13,"April 9, 1874","Lebanon, Tennessee",1,0,"John R. Breckinridge, son of the late Robert Jefferson Breckinridge, attending classes in law at Cumberland University in Lebanon, Tennessee, was killed by John L. Anderson, the Mayor's son. The latter was reportedly ""crazed with liquor.""[15][16]",0,0,1,1874-04-09,Lebanon,Tennessee,"Lebanon, Tennessee","Lebanon, Wilson County, Tennessee, 37087, USA","Lebanon, Wilson County, Tennessee, 37087, USA","(36.2079779, -86.2910945)",36.2079779,-86.2910945,4,1874,9
14,"May 24, 1878","St. Paul, Minnesota",0,1,"A 12-year-old boy, Luckert, accidentally shot and wounded Allie McDonald, another boy at the Neill school. The youth was expected to recover. His mother Mrs. McDonald went to the police station, but did not file a formal complaint.[17]",0,0,1,1878-05-24,St. Paul,Minnesota,"St. Paul, Minnesota","St. Paul, Ramsey County, Minnesota, USA","St. Paul, Ramsey County, Minnesota, USA","(44.9504037, -93.1015026)",44.9504037,-93.1015026,5,1878,24
15,"May 24, 1879","Lancaster, New York",0,1,"Telegraph operator Frank Shugart, shot and severely injured Mr. Carr, superintendent of the stables at a girls' school.[18]",0,0,1,1879-05-24,Lancaster,New York,"Lancaster, New York","Lancaster, Lancaster Town, Erie County, New York, 14086, USA","Lancaster, Lancaster Town, Erie County, New York, 14086, USA","(42.9005956, -78.669997)",42.9005956,-78.669997,5,1879,24
16,"December 1, 1881","Santa Monica, California",1,0,"While working late at the schoolhouse on a program for the children's concert, Mr. O'Donnell, the school master, and Mr. Williams, one of the parents, got into an argument. Williams fatally shot O'Donnell in the back.[19]",0,0,1,1881-12-01,Santa Monica,California,"Santa Monica, California","Santa Monica, Los Angeles County, California, USA","Santa Monica, Los Angeles County, California, USA","(34.0250724, -118.4965129)",34.0250724,-118.4965129,12,1881,1
17,"December 22, 1881","Shelby County, Indiana",0,0,School teacher Charles J. Gregory shot at a pupil at close range because he refused to write on a slate. The bullet missed the boy. The teacher was arrested.[20],0,0,0,1881-12-22,Shelby County,Indiana,"Shelby County, Indiana","Shelby County, Indiana, USA","Shelby County, Indiana, USA","(39.493485, -85.8190596)",39.493485,-85.8190596,12,1881,22
18,"January 16, 1882","Iola, Kansas",0,0,"A group of boys shot into a schoolhouse, but no one was hurt. Two of the boys were arrested and pleaded guilty three weeks later. They were fined $9.00 each.[21]",0,0,0,1882-01-16,Iola,Kansas,"Iola, Kansas","Iola, Allen County, Kansas, 66749, USA","Iola, Allen County, Kansas, 66749, USA","(37.9244799, -95.3999814)",37.9244799,-95.3999814,1,1882,16
19,"April 13, 1882","Huntsville, Texas",0,1,"G.W. Gray, a student at the Sam Houston Normal School, shot and wounded another student, M.J. Jordan. They were arguing over a comic valentine.[22]",0,0,1,1882-04-13,Huntsville,Texas,"Huntsville, Texas","Huntsville, Walker County, Texas, USA","Huntsville, Walker County, Texas, USA","(30.7235263, -95.5507771)",30.7235263,-95.5507771,4,1882,13
20,"February 14, 1883","Florence, Nebraska",0,3,"As some children were playing and throwing snowballs outside the Ponca Creek schoolhouse, Lem Harbaugh and the Shipley brothers, three young men, pulled up in a wagon and engaged the children in a snowball fight. One of the Shipley brothers had a .45 caliber needle gun. As the children kept throwing snowballs, Harbaugh aimed the gun at them. The lock was faulty and the gun went off; he wounded Mamie Shipley, Joy Price, and Marquis Price. Harbaugh later surrendered himself to the authorities.[23]",0,0,3,1883-02-14,Florence,Nebraska,"Florence, Nebraska","Florence Mill Historical Marker, Omaha, Douglas County, Nebraska, 68112:68152, USA","Florence Mill Historical Marker, Omaha, Douglas County, Nebraska, 68112:68152, USA","(41.3439388, -95.9581057)",41.3439388,-95.9581057,2,1883,14
21,"November 20, 1883","Barber County, Kansas",0,0,"A bunch of drunken cowboys stopped at several schoolhouses, forcing two teachers to drink whiskey, and firing numerous shots at three schoolhouses.[24]",0,0,0,1883-11-20,Barber County,Kansas,"Barber County, Kansas","Barber County, Kansas, USA","Barber County, Kansas, USA","(37.2113342, -98.7033263)",37.2113342,-98.7033263,11,1883,20
22,"February 28, 1884","Danville, Virginia",0,2,"As Allen Wamack, a 15-year-old boy, drove by an all black schoolhouse, he called out ""school butter"" (an insult meaning a cobbing, or a whipping).[25] The students came out and fired several shots at him; he shot back, hitting two students.[26]",0,0,2,1884-02-28,Danville,Virginia,"Danville, Virginia","Danville, Danville City, Virginia, USA","Danville, Danville City, Virginia, USA","(36.5859718, -79.3950228)",36.5859718,-79.3950228,2,1884,28
23,"March 6, 1884","Boston, Massachusetts",0,0,"As news of outlaw Jesse James reached the East Coast, young boys started to imitate him. For instance, boys shot at police investigating their activities at the Concord Street schoolhouse.[27]",0,0,0,1884-03-06,Boston,Massachusetts,"Boston, Massachusetts","Boston, Suffolk County, Massachusetts, USA","Boston, Suffolk County, Massachusetts, USA","(42.3602534, -71.0582912)",42.3602534,-71.0582912,3,1884,6
24,"June 12, 1887","Cleveland, Tennessee",1,0,"Will Guess shot and killed teacher Miss Irene Fann, for whipping his little sister the day before.[28]",0,0,1,1887-06-12,Cleveland,Tennessee,"Cleveland, Tennessee","Cleveland, Bradley County, Tennessee, USA","Cleveland, Bradley County, Tennessee, USA","(35.1595182, -84.8766115)",35.1595182,-84.8766115,6,1887,12
25,"June 13, 1889","New Brunswick, New Jersey",0,0,"Charles Crawford, upset over an argument with a school trustee, went up to the window and fired a pistol into a crowded schoolroom. The bullet lodged in the wall just above the teacher's head.[29]",0,0,0,1889-06-13,New Brunswick,New Jersey,"New Brunswick, New Jersey","New Brunswick, Middlesex County, New Jersey, USA","New Brunswick, Middlesex County, New Jersey, USA","(40.4862174, -74.4518173)",40.4862174,-74.4518173,6,1889,13
26,"April 24, 1890","Brazil, Indiana",0,1,"While the pupils of the Meridian Street School were at play, student Ben Corbery drew a revolver and seriously wounded 10-year-old Cora Brubach in the face. Cora had told the teacher about Ben's misconduct.[30]",0,0,1,1890-04-24,Brazil,Indiana,"Brazil, Indiana","Brazil, Clay County, Indiana, USA","Brazil, Clay County, Indiana, USA","(39.523652, -87.1250154)",39.523652,-87.1250154,4,1890,24
27,"December 27, 1890","Staunton, Virginia",1,0,"At Kable's Military Academy, 15-year-old A.H. Hathaway of Denison, Texas, was accidentally shot and killed by his 17-year-old classmate James Whitworth of Sulphur Springs, Texas, while they were playing with an old pistol.[31]",0,0,1,1890-12-27,Staunton,Virginia,"Staunton, Virginia","Staunton, Staunton City, Virginia, 24401, USA","Staunton, Staunton City, Virginia, 24401, USA","(38.1495947, -79.072557)",38.1495947,-79.072557,12,1890,27
28,"March 30, 1891","Liberty, Mississippi",0,14,"During a school exhibition and concert at the Parson Hill schoolhouse, an unknown gunman fired a double-barreled shotgun into the mixed audience, made up of black and white students, parents and teachers. Fourteen people were wounded, some seriously.[32]",0,0,14,1891-03-30,Liberty,Mississippi,"Liberty, Mississippi","Liberty, Winston County, Mississippi, 39346:39350, USA","Liberty, Winston County, Mississippi, 39346:39350, USA","(32.9848511, -89.1695102)",32.9848511,-89.1695102,3,1891,30
29,"April 9, 1891","Newburgh, New York",0,0,"70-year-old James Foster fired a shotgun at a group of students in the playground of St. Mary's Parochial School, causing minor injuries to several of the students.[33]",0,0,0,1891-04-09,Newburgh,New York,"Newburgh, New York","Newburgh, Orange County, New York, USA","Newburgh, Orange County, New York, USA","(41.5034271, -74.0104179)",41.5034271,-74.0104179,4,1891,9
30,"March 26, 1893","Plain Dealing, Louisiana",4,1,"During an evening school dance at Plain Dealing High School, a fight broke out. Two students were shot and killed immediately, two more were fatally wounded, and the high school's Professor Johnson was wounded in the arm.[34]",0,0,5,1893-03-26,Plain Dealing,Louisiana,"Plain Dealing, Louisiana","Plain Dealing, Bossier Parish, Louisiana, USA","Plain Dealing, Bossier Parish, Louisiana, USA","(32.9051385, -93.6968433)",32.9051385,-93.6968433,3,1893,26
31,"December 13, 1898","Charleston, West Virginia",6,1,"During the school exhibition, a group of young men tried to break up a student performance. When teacher Mr. Fisher tried to throw them out, they turned on him. Audience members joined the fray. Harry Flasher was shot and instantly killed, Henry Carney was fatally shot in the back, Ralph Jones and two others were also fatally shot, and George Gibson was shot in the hand; Haz Harding had his skull crushed, and several others received minor wounds.[35]",0,0,7,1898-12-13,Charleston,West Virginia,"Charleston, West Virginia","Charleston, Kanawha County, West Virginia, USA","Charleston, Kanawha County, West Virginia, USA","(38.3505995, -81.6332812)",38.3505995,-81.6332812,12,1898,13
32,"February 24, 1903","Inman, South Carolina",1,0,"Edward Foster, a 17-year-old student at Inman High School, was fatally wounded by his teacher Reuben Pitts after jerking a rod from Pitts' hands to avoid punishment. According to the teacher, Foster struck the pistol Pitts had drawn, and caused it to fire. Pitts was acquitted of murder on grounds of self-defense.[36]",0,0,1,1903-02-24,Inman,South Carolina,"Inman, South Carolina","Inman, Spartanburg County, South Carolina, USA","Inman, Spartanburg County, South Carolina, USA","(35.0470617, -82.0901088)",35.0470617,-82.0901088,2,1903,24
33,"July 21, 1903","Jackson, Kentucky",2,1,"At the Cave Run School, James Barrett and Mack Howard argued over a card game and fought a duel with pistols, killing each other. 12-year-old student, James Vires, was shot in the abdomen while sitting at his desk during the gunfight.[37]",2,0,3,1903-07-21,Jackson,Kentucky,"Jackson, Kentucky","Jackson County, Kentucky, USA","Jackson County, Kentucky, USA","(37.4200233, -83.9913882)",37.4200233,-83.9913882,7,1903,21
34,"April 6, 1904","Chicago, Illinois",1,0,"Two students had been fighting for months over a girl. Henry Schaze threw 16-year-old Paul Jelick to the ground, drew a revolver, and killed his rival.[38]",0,0,1,1904-04-06,Chicago,Illinois,"Chicago, Illinois","Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,4,1904,6
35,"November 16, 1904","Riverside, California",2,1,"At the Indian School, a gun fight broke out between pupils. Charles Colby was shot in the head with a pistol, then returned fire, killing Tom Bucanoros, and fatally wounding Fred Smith.[39]",0,0,3,1904-11-16,Riverside,California,"Riverside, California","Riverside, Riverside County, California, USA","Riverside, Riverside County, California, USA","(33.9533546, -117.3961623)",33.9533546,-117.3961623,11,1904,16
36,"December 16, 1904","Magee, Mississippi",1,1,"Parent E.E. Mangum was shot through the head and killed by the principal of the high school, Professor J.E. Woodward, after shooting the principal in the hand. Mangum had argued with Woodward, who had given Mangum's 15-year-old son a severe whipping.[40]",0,0,2,1904-12-16,Magee,Mississippi,"Magee, Mississippi","Magee, Simpson County, Mississippi, 39111, USA","Magee, Simpson County, Mississippi, 39111, USA","(31.8737712, -89.7336852)",31.8737712,-89.7336852,12,1904,16
37,"February 9, 1905","Colusa, California",0,1,"The meeting of 17-year-old Elmer Hildreth with a school Trustee ended in an armed encounter over Hildreth's being suspended. When Mr. Ingrim went after Hildreth with an axe, Hildreth shot him in the stomach. Hildreth was arrested and was found to have acted in self-defense; no charges were filed. Ingrim survived.[41]",0,0,1,1905-02-09,Colusa,California,"Colusa, California","Colusa County, California, USA","Colusa County, California, USA","(39.1465578, -122.2209563)",39.1465578,-122.2209563,2,1905,9
38,"October 5, 1905","Hickman, Kentucky",1,0,Parent George Nicholson killed John Kurd at a schoolhouse during a school rehearsal. Kurd had made a disparaging remark about Nicholson's daughter during her recital.[42],0,0,1,1905-10-05,Hickman,Kentucky,"Hickman, Kentucky","Hickman County, Kentucky, USA","Hickman County, Kentucky, USA","(36.6903525, -88.9587214)",36.6903525,-88.9587214,10,1905,5
39,"December 20, 1907","Chico, California",1,0,"9-year-old Arthur Roberts was shot in the head and killed outside his school during a military drill by school children of the Dayton school district. Armed with old guns believed to be empty, the children had pulled the triggers.[43]",0,0,1,1907-12-20,Chico,California,"Chico, California","Chico, Butte County, California, USA","Chico, Butte County, California, USA","(39.7284945, -121.8374777)",39.7284945,-121.8374777,12,1907,20
40,"January 10, 1908","Council Bluffs, Iowa",0,0,"At around 6 a.m., as George O Mortensen, 35-year-old janitor of the Washington street school building, was unlocking the outer door of the school, someone discharged a shotgun from a few feet away. The shot riddled the door within a foot of his head.[44]",0,0,0,1908-01-10,Council Bluffs,Iowa,"Council Bluffs, Iowa","Council Bluffs, Pottawattamie County, Iowa, USA","Council Bluffs, Pottawattamie County, Iowa, USA","(41.2621283, -95.8613912)",41.2621283,-95.8613912,1,1908,10
41,"March 11, 1908","Boston, Massachusetts",2,0,"Thirty-nine-year-old teacher Miss Sarah Chamberlain Weed killed thirty-four-year-old teacher Elizabeth Bailey Hardee, then shot herself, at the Laurens School, a fashionable boarding school. Weed was said to be suffering from melancholia (depression).[45]",3,0,2,1908-03-11,Boston,Massachusetts,"Boston, Massachusetts","Boston, Suffolk County, Massachusetts, USA","Boston, Suffolk County, Massachusetts, USA","(42.3602534, -71.0582912)",42.3602534,-71.0582912,3,1908,11
42,"March 19, 1909","Mount Vernon, Illinois",0,1,"During a school performance of The Grand Central, John Moake, portraying the villain, was shot in the forehead and dangerously wounded by the hero, Roy Slater. The cartridge was thought to have been blank.[46]",0,0,1,1909-03-19,Mount Vernon,Illinois,"Mount Vernon, Illinois","Mount Vernon, Jefferson County, Illinois, USA","Mount Vernon, Jefferson County, Illinois, USA","(38.3172715, -88.9031201)",38.3172715,-88.9031201,3,1909,19
43,"June 10, 1909","Trinidad, Colorado",1,0,"Walter Harris, 11-year-old student, accidentally shot his teacher, B.C. Briggs, in the head while on a school field trip, killing him.[47]",0,0,1,1909-06-10,Trinidad,Colorado,"Trinidad, Colorado","Trinidad, Las Animas County, Colorado, 81082, USA","Trinidad, Las Animas County, Colorado, 81082, USA","(37.169397, -104.5005411)",37.169397,-104.5005411,6,1909,10
44,"September 11, 1909","McDonald County, Missouri",1,0,"John Butram, a student at the Bear Hollow School, told his fellow students that school was cancelled. The teacher A.T. Kelly said it was not. When Butram drew a knife on his teacher, Kelly shot and killed him.[48]",0,0,1,1909-09-11,McDonald County,Missouri,"McDonald County, Missouri","McDonald County, Missouri, USA","McDonald County, Missouri, USA","(36.6259839, -94.3529462)",36.6259839,-94.3529462,9,1909,11
45,"January 12, 1910","New York City, New York",2,0,"""A black bearded maniac drew an automatic pistol"" and fired five shots into a crowd of boys at the Harlem School, who were taunting him. 6-year-old Robert Lomas, was hit and died instantly; 6-year-old Arthur Shively, was critically wounded.[49]",0,0,2,1910-01-12,New York City,New York,"New York City, New York","NYC, New York, United States of America","NYC, New York, United States of America","(40.7127281, -74.0060152)",40.7127281,-74.0060152,1,1910,12
46,"August 16, 1910","Lexington, Kentucky",1,0,"A general fight broke out during school board elections. Lewis Napier was shot and killed, and several other persons were hurt. Several men were arrested.[50]",0,0,1,1910-08-16,Lexington,Kentucky,"Lexington, Kentucky","Lexington, Fayette County, Kentucky, 40508, USA","Lexington, Fayette County, Kentucky, 40508, USA","(38.0464066, -84.4970393)",38.0464066,-84.4970393,8,1910,16
47,"April 27, 1911","Manhattan, Kansas",1,0,"During a school play rehearsal, a boy loaded his revolver, unknown to others. Pearl Reedy, an 18-year-old girl who was to use the gun in the play, said she was afraid to handle it. The teacher said she didn't need to fear it and pointed it at Reedy, squeezing the trigger. Reedy was fatally wounded.[51]",0,0,1,1911-04-27,Manhattan,Kansas,"Manhattan, Kansas","Manhattan, Riley County, Kansas, USA","Manhattan, Riley County, Kansas, USA","(39.1836082, -96.5716694)",39.1836082,-96.5716694,4,1911,27
48,"January 31, 1912","San Francisco, California",1,0,"During a stone throwing confrontation near the Oriental School on Clay Street, a group of white boys became trapped between two groups of Chinese boys. Jose Aguilar fired a BB shot air rifle twice to frighten the Chinese. 10-year-old Wong She had a gun and fired back. One bullet passed through Aguilar's coat sleeve and fatally struck 14-year-old James Kane in the school's rear yard.[52][53]",0,0,1,1912-01-31,San Francisco,California,"San Francisco, California","SF, California, USA","SF, California, USA","(37.7792808, -122.4192363)",37.7792808,-122.4192363,1,1912,31
49,"February 16, 1912","Lagrange, New York",1,0,14-year-old May McQuade was killed by classmate Raymond B. Carroll. Carroll said the shooting was accidental as he did not think the gun was loaded.[54],0,0,1,1912-02-16,Lagrange,New York,"Lagrange, New York","Lagrange, Town of Hamptonburgh, Orange County, New York, 10916, USA","Lagrange, Town of Hamptonburgh, Orange County, New York, 10916, USA","(41.4487049, -74.2854289)",41.4487049,-74.2854289,2,1912,16
50,"November 19, 1914","Sayre, Pennsylvania",1,0,"While walking to school, 14-year-old Charles Listman killed 15-year-old Andrew Milton over rivalry for classmate 13-year-old Minnie London.[55]",0,0,1,1914-11-19,Sayre,Pennsylvania,"Sayre, Pennsylvania","Sayre, Bradford County, Pennsylvania, 18840, USA","Sayre, Bradford County, Pennsylvania, 18840, USA","(41.9789631, -76.515499)",41.9789631,-76.515499,11,1914,19
51,"January 13, 1915","Vancouver, Washington",0,1,"During a parent-teachers' meeting, 15-year-old student Murlan Decker was accidentally shot by his younger brother, Luther.[56]",0,0,1,1915-01-13,Vancouver,Washington,"Vancouver, Washington","Vancouver, Clark County, Washington, USA","Vancouver, Clark County, Washington, USA","(45.6306954, -122.6744557)",45.6306954,-122.6744557,1,1915,13
52,"February 3, 1915","Jasper, Florida",1,1,"20-year-old Will Yates, teacher of Clear Pond school in Hamilton County, Florida, was shot and killed in a fight with Claude Holtzendorff and his two sons. The Holtzendorffs objected to one of the boys being whipped at school. When they showed up, Yates had armed himself. He shot the father through the mouth, and was fatally shot through the body, dying an hour later.[57]",0,0,2,1915-02-03,Jasper,Florida,"Jasper, Florida","Jasper, Hamilton County, Florida, USA","Jasper, Hamilton County, Florida, USA","(30.5182727, -82.94819)",30.5182727,-82.94819,2,1915,3
53,"September 20, 1916","Bemidji, Minnesota",0,1,"Olga Dahl, the 19-year-old teacher at the Round Lake District School, was found tied to a tree near the school, assaulted, and shot twice in the face. She had been working late after school, when a man with a revolver entered the school house and ordered her to obey him. He raped and shot her; she was expected to live. A group of men in Itasca County joined in hunting the assailant.[58][59]",0,0,1,1916-09-20,Bemidji,Minnesota,"Bemidji, Minnesota","Bemidji, Beltrami County, Minnesota, USA","Bemidji, Beltrami County, Minnesota, USA","(47.4785418, -94.8907869)",47.4785418,-94.8907869,9,1916,20
54,"December 26, 1916","Danville, Kentucky",1,0,"During the Christmas tree celebration at the Harris Creek School, a fight broke out in the room packed with children and visitors. William Benedict, Sr. was instantly killed, William Benedict, Jr. was shot in the ankle, Bourdon Galloway was shot in the right arm, and Mike Gaddis was shot in the leg. Many others were injured. Thomas Thornton had been drinking and objected to Benedict telling him to calm down. Thornton's brother George left the room and returned with a revolver.[60]",0,0,1,1916-12-26,Danville,Kentucky,"Danville, Kentucky","Danville, Boyle County, Kentucky, USA","Danville, Boyle County, Kentucky, USA","(37.6456488, -84.7721823)",37.6456488,-84.7721823,12,1916,26
55,"June 5, 1917","Harrisburg, Pennsylvania",0,1,"16-year-old freshman Earl Wolf was accidentally shot in the leg with a revolver about noon, in the company of classmates at Central High School.[61]",0,0,1,1917-06-05,Harrisburg,Pennsylvania,"Harrisburg, Pennsylvania","Harrisburg, Dauphin County, Pennsylvania, USA","Harrisburg, Dauphin County, Pennsylvania, USA","(40.2663107, -76.8861122)",40.2663107,-76.8861122,6,1917,5
56,"October 28, 1917","Chicago, Illinois",1,0,"Brothers 16-year-old William and 15-year-old Ralph Carter broke into the May public school, robbing the phone boxes and teachers' desks. When they were discovered by janitor Howard Parks and policeman Thomas Conway, the latter shot at them. William was critically wounded and not expected to live; Ralph Carter was taken to jail.[62]",0,0,1,1917-10-28,Chicago,Illinois,"Chicago, Illinois","Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,10,1917,28
57,"November 29, 1917","Manes, Missouri",0,1,"At the Perkins school's Thanksgiving night pie supper, 21-year-old teacher Joe Todd, was mysteriously shot. He was expected to recover.[63]",0,0,1,1917-11-29,Manes,Missouri,"Manes, Missouri","Manes, Wright County, Missouri, USA","Manes, Wright County, Missouri, USA","(37.3800477, -92.3668313)",37.3800477,-92.3668313,11,1917,29
58,"March 29, 1918","Jefferson City, Missouri",1,0,"At the Lincoln Institute, State Negro Normal School, 31-year-old Professor Romeo West, was killed in the dormitory by superintendent of school Theodore Martin. They were arguing about dishes to use at a social. Martin said he shot in self-defense, fatally hitting West with three of five shots.[64]",0,0,1,1918-03-29,Jefferson City,Missouri,"Jefferson City, Missouri","Jefferson City, Cole County, Missouri, USA","Jefferson City, Cole County, Missouri, USA","(38.577359, -92.1724265)",38.577359,-92.1724265,3,1918,29
59,"April 6, 1918","Reeder, North Dakota",1,0,"During the afternoon recess, a boy was looking over a 22-caliber rifle; it discharged, striking the head of the Coyne boy in the seat to the front, killing him instantly.[65]",0,0,1,1918-04-06,Reeder,North Dakota,"Reeder, North Dakota","Reeder, Adams County, North Dakota, USA","Reeder, Adams County, North Dakota, USA","(46.1058393, -102.9454423)",46.1058393,-102.9454423,4,1918,6
60,"January 9, 1919","Monroe City, Missouri",0,0,"While school was in session, Hugh Claggett shot through the school house's front door, while on his way home from work. No one was hurt, and he was fined $20.[66]",0,0,0,1919-01-09,Monroe City,Missouri,"Monroe City, Missouri","Monroe City, Monroe County, Missouri, USA","Monroe City, Monroe County, Missouri, USA","(39.6536529, -91.7346056)",39.6536529,-91.7346056,1,1919,9
61,"April 12, 1919","Ogden City, Utah",0,1,"During a high school assembly, six boys shot off their guns. Permission had been given in the belief the guns were loaded with blanks, but they had live shot. Teacher Verna Davidson was shot in the foot.[67]",0,0,1,1919-04-12,Ogden City,Utah,"Ogden City, Utah","Ogden, Weber County, Utah, USA","Ogden, Weber County, Utah, USA","(41.2230048, -111.9738429)",41.2230048,-111.9738429,4,1919,12
62,"August 4, 1919","Berkeley, California",0,2,"Roger Sprague, an assistant in the department of chemistry at the University of California, despondent over his inability to obtain a position, shot and wounded 59-year-old Professor Edmond O'Neill, head of department, and 37-year-old Dr. Joel Henry Hildebrand, professor of chemistry, in the offices of Gilman Hall. He went to California Hall and shot at 57-year-old May L. Cheney, appointment secretary, but hit only one of her hair combs before he was subdued.[68]",0,0,2,1919-08-04,Berkeley,California,"Berkeley, California","Berkeley, Alameda County, California, USA","Berkeley, Alameda County, California, USA","(37.8708393, -122.2728639)",37.8708393,-122.2728639,8,1919,4
